Billboard_ID,Location_Name,Borough,Location_Type,Billboard_Type,Width_ft,Height_ft,Monthly_Impressions_Est,Monthly_Rate_INR,cpi_inr,gap_ratio,Permit_Status,Last_Audit_Date,Risk_Score,Risk_Tier,Client_ID,Client_Name,Client_Industry
MUM-W-001,Bandra-Worli Sea Link,West Suburbs,Highway,Digital,60,30,2500000,850000,0.34,-0.2142857142857142,Active,2024-11-15,0,No Apparent Risk,CL01,Netflix India,Entertainment
MUM-C-002,Dadar Station West,Mumbai City,Transit Hub,Static,40,20,1800000,400000,0.2222222222222222,-0.34013605442176875,Active,2025-03-10,0,No Apparent Risk,CL02,Coca-Cola,FMCG
MUM-W-003,Juhu Circle,West Suburbs,Commercial Hub,Digital,50,25,1500000,600000,0.4,0.006802721088435382,Active,2025-01-20,0,No Apparent Risk,CL03,Samsung,Electronics
MUM-S-004,Marine Drive,South Mumbai,Arterial Road,Static,30,15,2000000,750000,0.375,-0.07823129251700678,Expired,2022-12-01,4,High Risk,CL04,ICICI Bank,Finance
MUM-W-005,Andheri East Station,West Suburbs,Transit Hub,Static,40,20,1750000,380000,0.21714285714285714,-0.33673469387755106,Pending,2024-08-22,1,Low Risk,,,
MUM-E-006,Powai,400076,East Suburbs,Digital,40,20,1200000,550000,0.4583333333333333,0.09863945578231292,Active,2025-05-18,0,No Apparent Risk,CL05,Lodha Group,Real Estate
MUM-W-007,Goregaon Film City Road,West Suburbs,Arterial Road,Static,50,25,900000,250000,0.2777777777777778,-0.06462585034013604,Active,2024-07-30,0,No Apparent Risk,CL01,Netflix India,Entertainment
MUM-S-008,CST Station,South Mumbai,Transit Hub,Digital,60,30,2200000,800000,0.36363636363636365,-0.12244897959183676,Active,2025-02-11,0,No Apparent Risk,CL06,Myntra,E-commerce
MUM-W-009,Bandra Linking Road,West Suburbs,Commercial Hub,Static,30,15,1600000,450000,0.28125,-0.19387755102040813,Active,2024-09-05,0,No Apparent Risk,CL06,Myntra,E-commerce
MUM-E-011,Chembur,400071,East Suburbs,Static,40,20,1100000,280000,0.2545454545454545,-0.12925170068027209,Active,2022-10-25,1,Low Risk,,,
MUM-S-012,Colaba Causeway,South Mumbai,Commercial Hub,Digital,30,15,1300000,500000,0.38461538461538464,0.0,Active,2025-08-01,0,No Apparent Risk,CL08,Starbucks,F&B
MUM-W-013,Malad,400064,West Suburbs,Static,50,25,1400000,320000,0.22857142857142856,-0.2312925170068027,Expired,2023-01-15,4,High Risk,CL02,Coca-Cola,FMCG
MUM-C-015,Worli Sea Face,Mumbai City,Arterial Road,Static,40,20,1600000,550000,0.34375,-0.09183673469387754,Active,2024-12-10,0,No Apparent Risk,CL04,ICICI Bank,Finance
NAV-T-016,Vashi Station Complex,Navi Mumbai,Transit Hub,Digital,50,25,1700000,620000,0.36470588235294116,-0.0680272108843537,Active,2025-06-11,0,No Apparent Risk,,,
MUM-E-019,Ghatkopar,400086,East Suburbs,Static,40,20,1300000,300000,0.23076923076923078,-0.20408163265306123,Active,2024-05-14,0,No Apparent Risk,CL10,Amazon Prime,Entertainment
MUM-C-020,Sion Circle,Mumbai City,Arterial Road,Static,30,15,1450000,350000,0.2413793103448276,-0.22448979591836735,Pending,,1,Low Risk,,,
MUM-W-021,Bandra Kurla Complex (BKC),West Suburbs,Commercial Hub,Digital,60,30,2000000,900000,0.45,0.07482993197278909,Active,2024-11-20,0,No Apparent Risk,CL04,ICICI Bank,Finance
MUM-C-022,Dadar TT Circle,Mumbai City,Arterial Road,Digital,40,20,1600000,580000,0.3625,-0.061224489795918324,Active,2025-03-03,0,No Apparent Risk,CL03,Samsung,Electronics
MUM-W-024,Mumbai Airport T2,West Suburbs,Transit Hub,Digital,80,40,2400000,1200000,0.5,0.19047619047619047,Active,2025-06-01,0,No Apparent Risk,CL11,Emirates,Travel
MUM-C-025,Mahim Causeway,Mumbai City,Arterial Road,Static,40,20,1700000,480000,0.2823529411764706,-0.21088435374149656,Expired,2022-08-10,4,High Risk,,,
MUM-W-027,Borivali Station West,West Suburbs,Transit Hub,Static,40,20,1650000,360000,0.21818181818181817,-0.30952380952380953,Active,2024-06-25,0,No Apparent Risk,CL02,Coca-Cola,FMCG
MUM-S-028,Nariman Point,South Mumbai,Commercial Hub,Digital,50,25,1800000,780000,0.43333333333333335,0.04761904761904756,Active,2024-10-10,0,No Apparent Risk,CL13,Taj Hotels,Hospitality
MUM-W-031,Juhu Beach,West Suburbs,Leisure,Static,40,20,1250000,380000,0.304,-0.09863945578231295,Active,2023-05-20,1,Low Risk,CL08,Starbucks,F&B
MUM-S-032,Churchgate Station,South Mumbai,Transit Hub,Digital,40,20,1900000,650000,0.34210526315789475,-0.13265306122448978,Active,2025-04-22,0,No Apparent Risk,CL10,Amazon Prime,Entertainment
MUM-C-033,Haji Ali Junction,Mumbai City,Arterial Road,Digital,50,25,2100000,760000,0.3619047619047619,-0.11564625850340138,Active,2025-07-07,0,No Apparent Risk,CL14,Rolex,Luxury Goods
MUM-S-036,Peddar Road,South Mumbai,Residential Area,Static,30,15,900000,450000,0.5,0.13945578231292519,Active,2025-02-01,0,No Apparent Risk,CL14,Rolex,Luxury Goods
MUM-E-038,Mulund Check Naka,East Suburbs,Highway,Static,70,35,2400000,800000,0.3333333333333333,-0.217687074829932,Active,2025-05-05,0,No Apparent Risk,CL12,MG Hector,Automotive
MUM-W-043,Dahisar Check Naka,West Suburbs,Highway,Static,80,40,2700000,920000,0.34074074074074073,-0.23809523809523803,Active,2024-12-22,0,No Apparent Risk,CL07,BMW India,Automotive
MUM-S-047,Cuffe Parade,South Mumbai,Residential Area,Digital,30,15,950000,550000,0.5789473684210527,0.21768707482993196,Active,2025-04-01,2,Low Risk,CL13,Taj Hotels,Hospitality
NAV-C-050,Belapur CBD,Navi Mumbai,Commercial Hub,Digital,60,30,1600000,680000,0.425,0.04081632653061229,Active,2025-08-20,0,No Apparent Risk,CL04,ICICI Bank,Finance
MUM-C-051,Bandra-Worli Sea Link Exit,Mumbai City,Highway,Digital,60,30,2450000,840000,0.34285714285714286,-0.20068027210884354,Active,2025-01-12,0,No Apparent Risk,CL07,BMW India,Automotive
MUM-W-053,Juhu Tara Road,West Suburbs,Arterial Road,Digital,40,20,1450000,590000,0.4068965517241379,0.02040816326530609,Active,2025-08-01,0,No Apparent Risk,CL08,Starbucks,F&B
MUM-S-054,Marine Lines,South Mumbai,Residential Area,Static,30,15,1900000,700000,0.3684210526315789,-0.08163265306122447,Active,2025-02-18,0,No Apparent Risk,CL14,Rolex,Luxury Goods
MUM-E-056,Powai Lake Promenade,East Suburbs,Leisure,Digital,30,15,1100000,520000,0.4727272727272727,0.11564625850340138,Active,2025-05-25,0,No Apparent Risk,CL09,Zomato,Tech
