Billboard_ID,Location_Name,Borough,Location_Type,Billboard_Type,Width_ft,Height_ft,Monthly_Impressions_Est,Monthly_Rate_INR,cpi_inr,gap_ratio,Permit_Status,Last_Audit_Date,Risk_Score,Risk_Tier,Client_ID,Client_Name,Client_Industry,ML_Anomaly_Flag
MUM-W-001,Bandra-Worli Sea Link,West Suburbs,Highway,Digital,60,30,2500000,850000,0.34,-0.2142857142857142,Active,2024-11-15,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-C-002,Dadar Station West,Mumbai City,Transit Hub,Static,40,20,1800000,400000,0.2222222222222222,-0.3401360544217687,Active,2025-03-10,0,No Apparent Risk,CL02,Coca-Cola,FMCG,0
MUM-W-003,Juhu Circle,West Suburbs,Commercial Hub,Digital,50,25,1500000,600000,0.4,0.0068027210884353,Active,2025-01-20,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-S-004,Marine Drive,South Mumbai,Arterial Road,Static,30,15,2000000,750000,0.375,-0.0782312925170067,Expired,2022-12-01,4,High Risk,CL04,ICICI Bank,Finance,0
MUM-W-005,Andheri East Station,West Suburbs,Transit Hub,Static,40,20,1750000,380000,0.2171428571428571,-0.336734693877551,Pending,2024-08-22,1,Low Risk,,,,0
MUM-E-006,Powai,400076,East Suburbs,Digital,40,20,1200000,550000,0.4583333333333333,0.0986394557823129,Active,2025-05-18,0,No Apparent Risk,CL05,Lodha Group,Real Estate,0
MUM-W-007,Goregaon Film City Road,West Suburbs,Arterial Road,Static,50,25,900000,250000,0.2777777777777778,-0.064625850340136,Active,2024-07-30,0,No Apparent Risk,CL01,Netflix India,Entertainment,1
MUM-S-008,CST Station,South Mumbai,Transit Hub,Digital,60,30,2200000,800000,0.3636363636363636,-0.1224489795918367,Active,2025-02-11,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-W-009,Bandra Linking Road,West Suburbs,Commercial Hub,Static,30,15,1600000,450000,0.28125,-0.1938775510204081,Active,2024-09-05,0,No Apparent Risk,CL06,Myntra,E-commerce,0
MUM-E-011,Chembur,400071,East Suburbs,Static,40,20,1100000,280000,0.2545454545454545,-0.129251700680272,Active,2022-10-25,1,Low Risk,,,,0
MUM-S-012,Colaba Causeway,South Mumbai,Commercial Hub,Digital,30,15,1300000,500000,0.3846153846153846,0.0,Active,2025-08-01,0,No Apparent Risk,CL08,Starbucks,F&B,0
MUM-W-013,Malad,400064,West Suburbs,Static,50,25,1400000,320000,0.2285714285714285,-0.2312925170068027,Expired,2023-01-15,4,High Risk,CL02,Coca-Cola,FMCG,1
MUM-C-015,Worli Sea Face,Mumbai City,Arterial Road,Static,40,20,1600000,550000,0.34375,-0.0918367346938775,Active,2024-12-10,0,No Apparent Risk,CL04,ICICI Bank,Finance,0
NAV-T-016,Vashi Station Complex,Navi Mumbai,Transit Hub,Digital,50,25,1700000,620000,0.3647058823529411,-0.0680272108843537,Active,2025-06-11,0,No Apparent Risk,,,,0
MUM-E-019,Ghatkopar,400086,East Suburbs,Static,40,20,1300000,300000,0.2307692307692307,-0.2040816326530612,Active,2024-05-14,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-020,Sion Circle,Mumbai City,Arterial Road,Static,30,15,1450000,350000,0.2413793103448276,-0.2244897959183673,Pending,,1,Low Risk,,,,0
MUM-W-021,Bandra Kurla Complex (BKC),West Suburbs,Commercial Hub,Digital,60,30,2000000,900000,0.45,0.074829931972789,Active,2024-11-20,0,No Apparent Risk,CL04,ICICI Bank,Finance,1
MUM-C-022,Dadar TT Circle,Mumbai City,Arterial Road,Digital,40,20,1600000,580000,0.3625,-0.0612244897959183,Active,2025-03-03,0,No Apparent Risk,CL03,Samsung,Electronics,0
MUM-W-024,Mumbai Airport T2,West Suburbs,Transit Hub,Digital,80,40,2400000,1200000,0.5,0.1904761904761904,Active,2025-06-01,0,No Apparent Risk,CL11,Emirates,Travel,1
MUM-C-025,Mahim Causeway,Mumbai City,Arterial Road,Static,40,20,1700000,480000,0.2823529411764706,-0.2108843537414965,Expired,2022-08-10,4,High Risk,,,,0
MUM-W-027,Borivali Station West,West Suburbs,Transit Hub,Static,40,20,1650000,360000,0.2181818181818181,-0.3095238095238095,Active,2024-06-25,0,No Apparent Risk,CL02,Coca-Cola,FMCG,1
MUM-S-028,Nariman Point,South Mumbai,Commercial Hub,Digital,50,25,1800000,780000,0.4333333333333333,0.0476190476190475,Active,2024-10-10,0,No Apparent Risk,CL13,Taj Hotels,Hospitality,1
MUM-W-031,Juhu Beach,West Suburbs,Leisure,Static,40,20,1250000,380000,0.304,-0.0986394557823129,Active,2023-05-20,1,Low Risk,CL08,Starbucks,F&B,0
MUM-S-032,Churchgate Station,South Mumbai,Transit Hub,Digital,40,20,1900000,650000,0.3421052631578947,-0.1326530612244897,Active,2025-04-22,0,No Apparent Risk,CL10,Amazon Prime,Entertainment,0
MUM-C-033,Haji Ali Junction,Mumbai City,Arterial Road,Digital,50,25,2100000,760000,0.3619047619047619,-0.1156462585034013,Active,2025-07-07,0,No Apparent Risk,CL14,Rolex,Luxury Goods,0
MUM-S-036,Peddar Road,South Mumbai,Residential Area,Static,30,15,900000,450000,0.5,0.1394557823129251,Active,2025-02-01,0,No Apparent Risk,CL14,Rolex,Luxury Goods,1
MUM-E-038,Mulund Check Naka,East Suburbs,Highway,Static,70,35,2400000,800000,0.3333333333333333,-0.217687074829932,Active,2025-05-05,0,No Apparent Risk,CL12,MG Hector,Automotive,1
MUM-W-043,Dahisar Check Naka,West Suburbs,Highway,Static,80,40,2700000,920000,0.3407407407407407,-0.238095238095238,Active,2024-12-22,0,No Apparent Risk,CL07,BMW India,Automotive,1
MUM-S-047,Cuffe Parade,South Mumbai,Residential Area,Digital,30,15,950000,550000,0.5789473684210527,0.2176870748299319,Active,2025-04-01,2,Low Risk,CL13,Taj Hotels,Hospitality,1
NAV-C-050,Belapur CBD,Navi Mumbai,Commercial Hub,Digital,60,30,1600000,680000,0.425,0.0408163265306122,Active,2025-08-20,0,No Apparent Risk,CL04,ICICI Bank,Finance,1
